,Unnamed: 0,Unnamed: 0.1,app_name,currency,price,rating_count_tot,user_rating,cont_rating,genre,supporteddevice
0,0,1,PAC-MAN Premium,USD,3.99,21292,4.0,4+,Games,38
1,1,2,Evernote - stay organized,USD,0.0,161065,4.0,4+,Productivity,37
2,2,3,"WeatherBug - Local Weather, Radar, Maps, Alerts",USD,0.0,188583,3.5,4+,Weather,37
3,3,4,"eBay: Best App to Buy, Sell, Save! Online Shopping",USD,0.0,262241,4.0,12+,Shopping,37
4,4,5,Bible,USD,0.0,985920,4.5,4+,Reference,37
5,5,6,Shanghai Mahjong,USD,0.99,8253,4.0,4+,Games,47
6,6,7,PayPal - Send and request money safely,USD,0.0,119487,4.0,4+,Finance,37
7,7,8,Pandora - Music & Radio,USD,0.0,1126879,4.0,12+,Music,37
8,8,9,PCalc - The Best Calculator,USD,9.99,1117,4.5,4+,Utilities,37
9,9,10,Ms. PAC-MAN,USD,3.99,7885,4.0,4+,Games,38
10,10,11,Solitaire by MobilityWare,USD,4.99,76720,4.5,4+,Games,38
11,11,12,SCRABBLE Premium,USD,7.99,105776,3.5,4+,Games,37
12,12,13,Google – Search made just for mobile,USD,0.0,479440,3.5,17+,Utilities,37
13,13,14,Bank of America - Mobile Banking,USD,0.0,119773,3.5,4+,Finance,37
14,14,15,FreeCell,USD,4.99,6340,4.5,4+,Games,38
15,15,16,TripAdvisor Hotels Flights Restaurants,USD,0.0,56194,4.0,4+,Travel,37
16,16,17,Facebook,USD,0.0,2974676,3.5,4+,Social Networking,37
17,17,18,"Yelp - Nearby Restaurants, Shopping & Services",USD,0.0,223885,4.0,12+,Travel,37
18,18,20,"Shazam - Discover music, artists, videos & lyrics",USD,0.0,402925,4.0,12+,Music,37
19,19,21,Crash Bandicoot Nitro Kart 3D,USD,2.99,31456,4.0,4+,Games,47
20,20,22,iQuran,USD,1.99,2929,4.5,4+,Reference,43
21,21,23,:) Sudoku +,USD,2.99,11447,5.0,4+,Games,40
